json_id,influencer_name,sponsored,brand,gender_bias_score,matched_hashtag,hashtags_count
1002430476847321851,unknown,0,Target,5.22,target,15
1020517000283345256,unknown,0,Target,5.22,target,2
1067495153034938916,unknown,0,Target,5.23,target,10
1099472541271672248,unknown,0,Target,5.23,targetstyle,2
1114692420295860808,unknown,0,Target,5.22,target,5
1118374457893446338,unknown,0,Target,5.23,target,1
1124770241921259746,unknown,0,Target,5.22,targetstyle,6
1139986963771006428,unknown,1,Target,5.23,target,7
1147336640732437696,unknown,1,Target,5.23,target,7
1157301753231120791,unknown,1,Target,5.22,target,19
1163242041371782540,unknown,0,Target,5.22,target,5
1166107399627945855,unknown,0,Target,5.22,target,5
1171184903327781408,unknown,1,Target,5.22,target,9
1171266222466250936,unknown,0,Target,5.23,target,2
1172941570645028195,unknown,0,Target,5.23,target,8
1175413769149036616,unknown,0,Target,5.23,targetstyle,9
1176368245744526386,unknown,0,Target,5.22,target,7
1178349679130257022,unknown,1,Target,5.22,targetstyle,4
1184066363912789540,unknown,0,Target,5.22,target,6
1185849517195478601,unknown,0,Target,5.23,target,8
1192107934868146790,unknown,1,Target,5.23,targetstyle,4
1192130905074203650,unknown,1,Target,5.22,targetstyle,9
1193605804233921328,unknown,1,Target,5.23,targetstyle,6
1195925017867755487,unknown,0,Target,5.22,target,5
1196548713156634541,unknown,1,Target,5.22,target,10
1197321521677377403,unknown,0,Target,5.23,target,8
1198734125049478519,unknown,1,Target,5.22,targetstyle,9
1212416131789065027,unknown,1,Target,5.22,targetstyle,4
1223957577745526440,unknown,0,Target,5.22,target,7
1233355630895270233,unknown,1,Target,5.23,targetstyle,3
1234262980770006592,unknown,0,Target,5.23,target,27
1234271938813495145,unknown,0,Target,5.22,target,26
1234435948632475511,unknown,0,Target,5.23,target,31
1237996104377624592,unknown,1,Target,5.22,targetstyle,3
1245266432544765837,unknown,0,Target,5.23,target,18
1252927599604562979,unknown,1,Target,5.22,targetstyle,9
1258210274691783098,unknown,0,Target,5.23,target,13
1258357149955515119,unknown,0,Target,5.23,target,12
1263436012881546099,unknown,0,Target,5.22,target,20
1268883395534752369,unknown,1,Target,5.23,targetstyle,5
1277560199110387271,unknown,0,Target,5.22,target,9
1287270617393083432,unknown,0,Target,5.23,target,11
1289438851705789656,unknown,0,Target,5.22,target,29
1292814574432668052,unknown,0,Target,5.22,target,9
1292918676806242980,unknown,0,Target,5.23,target,2
1295827383915524841,unknown,0,Target,5.23,targetstyle,3
1297425414906398922,unknown,0,Target,5.22,targetstyle,3
1300230364362736610,unknown,1,Target,5.23,targetstyle,5
1300462591616923388,unknown,0,Target,5.23,targetstyle,13
1303836782190642484,unknown,0,Target,5.22,target,19
1313962755036218285,unknown,0,Target,5.22,target,11
1316963635398181050,unknown,1,Target,5.22,target,12
1325138920794555151,unknown,0,Target,5.22,target,17
1326406444203047370,unknown,0,Target,5.22,target,17
1329834587827788411,unknown,0,Target,5.23,targetstyle,4
1332470118567035728,unknown,0,Target,5.23,target,29
1337443981461880951,unknown,0,Target,5.22,targetstyle,7
1348586031389951329,unknown,0,Target,5.22,targetstyle,29
1349445158043596726,unknown,0,Target,5.22,target,17
1358996928850850826,unknown,0,Target,5.22,targetstyle,6
1359490435643185053,unknown,0,Target,5.22,targetstyle,30
1359857410625692344,unknown,1,Target,5.22,target,3
1361065721089597107,unknown,1,Target,5.22,target,6
1363539133758418994,unknown,0,Target,5.22,targetstyle,21
1364637694587878230,unknown,0,Target,5.22,target,23
1367793202412855105,unknown,0,Target,5.22,target,2
1369341733142016212,unknown,0,Target,5.22,targetstyle,19
1372018910501300161,unknown,0,Target,5.22,target,8
1375547370057660772,unknown,0,Target,5.22,target,2
1378753741771040563,unknown,0,Target,5.22,target,1
1389192384956463614,unknown,1,Target,5.22,target,7
1394546400709035781,unknown,0,Target,5.22,target,12
1399315557073277057,unknown,1,Target,5.22,target,7
1400132852020089751,unknown,1,Target,5.22,target,8
1400397397284199460,unknown,0,Target,5.23,target,3
1401655525838174100,unknown,0,Target,5.22,targetstyle,29
1404534798135056839,unknown,0,Target,5.23,target,17
1405352501540080685,unknown,0,Target,5.22,targetstyle,15
1406271089415768547,unknown,0,Target,5.23,target,30
1409495425064451848,unknown,0,Target,5.22,target,27
1410267326267762936,unknown,1,Target,5.23,targetstyle,30
1411727644509044716,unknown,0,Target,5.23,target,21
1417757773936347129,unknown,0,Target,5.22,targetstyle,6
1418428384048199098,unknown,0,Target,5.22,target,30
1418453966483653275,unknown,0,Target,5.23,targetstyle,5
1421513341482140983,unknown,0,Target,5.22,target,30
1422251503754130114,unknown,0,Target,5.23,target,30
1426458699551042246,unknown,0,Target,5.22,target,22
1426959166538514074,unknown,0,Target,5.23,target,17
1429454912651200312,unknown,0,Target,5.23,target,30
1429874974386365740,unknown,1,Target,5.22,target,16
1429903133986984108,unknown,0,Target,5.23,targetstyle,2
1430755745879699228,unknown,0,Target,5.22,targetstyle,2
1430803722519507249,unknown,0,Target,5.22,target,25
1431165979286754187,unknown,0,Target,5.23,target,26
